sym,date,amt,portfolio
ALGO,2021-08-02,0.024176,COINBASE
GRT,2021-07-31,0.55221568,GEMINI
1INCH,2021-07-31,0.05789009,GEMINI
UMA,2021-07-31,0.01192317,GEMINI
OXT,2021-07-31,0.20069957,GEMINI
LINK,2021-07-31,0.0216013,GEMINI
UNI,2021-07-31,0.02493912,GEMINI
BAT,2021-07-31,0.35609934,GEMINI
DOGE,2021-07-31,8.35731895,GEMINI
SUSHI,2021-07-31,0.01908874,GEMINI
COMP,2021-07-31,0.00090982,GEMINI
MKR,2021-07-31,0.00004793,GEMINI
FIL,2021-07-31,0.0036363,GEMINI
MATIC,2021-07-31,0.13582097,GEMINI
MANA,2021-07-31,0.15675127,GEMINI
ZRX,2021-07-31,0.1369962,GEMINI
AMP,2021-07-31,2.36837172,GEMINI
