sym,date,amt,portfolio,surcharge,reference
XTZ,2021-10-15,0.012848,COINBASE
XTZ,2021-10-18,0.012982,COINBASE
ATOM,2021-10-21,0.012065,COINBASE
ATOM,2021-10-22,0.004486,COINBASE
ANC,2021-10-19,2.709844,TERRA,$0.76,3825BCD512D4623560D5B20E869D5177FDEB82BF42D75C5AB0756BB908953C19
TFLOKI,2021-10-20,18.168027,TERRA,$0.40,2ECADD6ABB17B4105A7207DA1FD1511DF38A3B1861BA55E4353500A984205812
PSI,2021-10-20,42.284201,TERRA,$0.08,4F29817B9EBB7531F8B653E51F33084233680A3F4F601350C014CA134B39D5D8
ONE,2021-10-21,0.4679195872,HARMONY,$0.00,0x0c7636d1d2f3ce2f9da84a1d0d16f3bfbd2e61b610c6bd01b11a27f0378e8166
SUSHI,2021-10-21,0.7267918021,HARMONY,$0.00,0x0c7636d1d2f3ce2f9da84a1d0d16f3bfbd2e61b610c6bd01b11a27f0378e8166
ONE,2021-10-21,0.2562489141,HARMONY,$0.00,0xb383652f992cce933b50beb4866e561f1d6e7ef2a87d945b7a5a5ac0a993c62b
SUSHI,2021-10-21,0.3980162532,HARMONY,$0.00,0xb383652f992cce933b50beb4866e561f1d6e7ef2a87d945b7a5a5ac0a993c62b
ONE,2021-10-21,0.3737250662,HARMONY,$0.00,0x0c7636d1d2f3ce2f9da84a1d0d16f3bfbd2e61b610c6bd01b11a27f0378e8166
SUSHI,2021-10-21,0.5805,HARMONY,$0.00,0x0c7636d1d2f3ce2f9da84a1d0d16f3bfbd2e61b610c6bd01b11a27f0378e8166
MIS,2021-10-21,7.961,HARMONY,$0.01,0xfe1440df08e2f57857852ed2685a42cd1d60cd764c061129efe05fdfc5ca0f5e
VKR,2021-10-22,10.480259,TERRA,$0.23,F75A3321847A4825256C97CC30C7A85CF35809B1EA0EB63F3A1B9E7C2F937A4B
ANC,2021-10-22,10.023919,TERRA,$0.76,FD03CFCE272B8F63CF8C25C9E554A409FC570C8CC15D4DFD69BB91DA11A883A1
MIS,2021-10-23,14.0636,HARMONY,$0.00,0xad304d53435a4ee81a0ee4a700cc36e2a39c855f952ea14344243de0ffafbe7f
