sym,date,amt,portfolio,surcharge,reference,memo
FOX,2021-11-21,0.1529854414,HARMONY,$0.00,0x1ed6e135238e1cd18dfe462864cc3da5857d67d49f489b8bf1bad3568a185841,FOX incubator (MIS-FOX)
MIS,2021-11-21,1.063198947,HARMONY,$0.00,0x179bcfcc86ef03beee0328ac4592116245902b302abcbdd7b61b31e7b625f4df,MIS LP claim
MIS,2021-11-21,,0.3127412812HARMONY,$0.00,0x66036f9532c09fc0339c8e9ca2f23874c8a57c9d95ac1cb684a2b0e430c0dbad,MIS LP claim
MIS,2021-11-21,0.8652201901,HARMONY,$0.01,0x93cf9c8509d34440a4400c4440ef03a509b1a40cd35f311dee93f0d1b19ecf86,MIS LP claim
MIS,2021-11-21,,0.5725607169HARMONY,$0.01,0xfd0fe85909846cd3a1ae718f4a6245d9173053c4bda00d35fb27e499b2496ea1,MIS LP claim
MIS,2021-11-21,1.295104237,HARMONY,$0.01,0xd7af60f2fd372226f14ac9bfb42c3bdc4dec08692625167d608797fdb897747d,MIS LP claim
MIS,2021-11-21,0.3875186025,HARMONY,$0.01,0xa79140d483e7d978c6adc4e82c7d14f9feb1d456b7a74a88782fe58bce168007,MIS LP claim
MIS,2021-11-21,2.74431636,HARMONY,$0.01,0xce8dd6f28370bfd428ee7c5501bcd31138738792d9a0d6ffc5386820a622cc32,MIS LP claim
RVRS,2021-11-21,1.442647691,HARMONY,$0.00,0xd4f2a6ccc8c3783bf6cbe035143b5d226efda4bd397a0657d1ffa7bcc3004679,RVRS incubator (MIS)
RVRS,2021-11-21,3.182957909,HARMONY,$0.00,0x5456147f53431afa12dfa250600765d6c3efc32a3b63d6dd34dfbb2d81e9aca1,UST bond
