call,date,amount,coin,from,to,surcharge,basis
XFER,2021-06-18,0.00283418,BTC,COINBASE,PHEMEX,0.00001025,$100.00
XFER,2021-06-18,0.00142219,BTC,COINBASE,PHEMEX,0.00001023,$50.00
XFER,2021-06-18,0.00092458,BTC,COINBASE,GEMINI,0.00001023,$50.00
XFER,2021-06-18,116.1146875,MATIC,COINBASE,GEMINI,1.2174937,$200.00
XFER,2021-06-18,0.06777891,ETH,COINBASE,GEMINI,0.000693,$200.00
XFER,2021-06-18,187.7488452,GRT,COINBASE,GEMINI,2.48903767,$200.00
XFER,2021-06-18,0.50277287,LTC,COINBASE,GEMINI,0.0000042,$100.00
XFER,2021-06-18,0.20985167,AAVE,COINBASE,GEMINI,0.00569168,$100.00
XFER,2021-06-18,115.433127,ENJ,GEMINI,COINBASE,0,$100.00
XFER,2021-06-18,0.01201258,BTC,GEMINI,PHEMEX,0,$450.00
XFER,2021-06-18,0.00366589,BTC,PHEMEX,COINBASE,0.00057,$150.00
