call,date,amount,coin,from,to,surcharge,coin_surcharge,basis,confirmation
XFER,2021-10-10,382.036678,UST,BINANCE,TERRA,0.000190055,BNB,$400.0,0x908d157485b7d5a531219eb9a7ef4e667ce4fea8978582e14e9b0d1bfc3d32d8 
XFER,2021-10-10,420.847122,UST,TERRA,HARMONY,1.453489,UST,$400.00,2043C2ED3086D2F4BA00338B17EE0C17B423593DBE91F06A71AC9DA0ACA67FF5
XFER,2021-10-10,14.836135,ATOM,COINBASE,BINANCE,0.0025,ATOM,$500.00
XFER,2021-10-10,467.199,ONE,BINANCE,HARMONY,0.0025,ONE,$100.00,0x2352a8551dac9d422f772eac3e653b6585b34f944a025132f6d784492af58511
XFER,2021-10-10,499.554501,UST,BINANCE,TERRA,0.000190055,BNB,$500.00,0x43cca0c19ea9e35317f902d99708bc1392e57c0c5548d4e9ecce1dc300210904
XFER,2021-10-10,15.31456,ATOM,COINBASE,BINANCE,0.0025,ATOM,$500.00,53EB9C18D2F0A70A518737DB6FB27D30C9DEA6FB0D517842E07B02E52CB763FC
XFER,2021-10-10,1958.7,ONE,BINANCE,HARMONY,0.001,ONE,$500.00,0x0a0794e37adb3e7a21a833d250c59f4c1f8875107a5a5207f603ee5924103c40
XFER,2021-10-10,230.007488,UST,HARMONY,TERRA,0.00037859,ONE,$230.00,0x23ab7833c397129084cf843c24645a74c7bb280d7c9498c43166f8a8301c53ea
XFER,2021-10-10,114.298987,UST,HARMONY,TERRA,0.00037871,ONE,$115.00,0x04a4c3034369f549ff107bcd7f83d0951cfb466fb9f913709963d246158ccdf2
XFER,2021-10-10,110.582339,UST,HARMONY,TERRA,0.00037871,ONE,$110.00,0xe909eca65130d4d58a7007f9f1ed6ad45a72bd9d6ff8c751850039033cc6aedd
XFER,2021-10-11,15.093428,ATOM,COINBASE,BINANCE,0.0025,ATOM,$500.00
XFER,2021-10-11,1958.7,ONE,BINANCE,HARMONY,0.0025,ONE,$500.00,0xc0a1709a253e2b536c0cd716f9e2e110134bfefe88b94c075e854df0c903289f
XFER,2021-10-11,102.838946,UST,HARMONY,TERRA,0.00037871,ONE,$100.00,0x7d9fe4f0602f67117bc21fd1e94a7bbe6f33105bc9a47e8cf30c63af87e16204
XFER,2021-10-11,425,UST,HARMONY,TERRA,0.00037859,ONE,$425.00,0x40f761e0a20936f5e612f49210abb4a2510e67cf1567ebb9918db8b11bcb667a
XFER,2021-10-11,690.6,ONE,BINANCE,HARMONY,0.0025,ONE,$200.00,0x1d328db2e18d34fec01def6a71e31ad62ab54b173b2d4ab693728bbb912f3542
XFER,2021-10-11,7.233272,ATOM,COINBASE,BINANCE,0.0025,ATOM,$200.00
